word,category,score,memo
볼일,일반명사,2
빈칸,일반명사,,
내친김,일반명사,,
빈방,일반명사,,
만듦새,일반명사,,
플러그인,일반명사,,
반각,일반명사,,
전각,일반명사,,
해시,일반명사,,
간지,일반명사,-5,
관문,일반명사,,
가량,일반명사,,
던전,일반명사,,
점등,일반명사,,
매일매일,일반명사,,
어린애,일반명사,,
어린아이,일반명사,,
큰일,일반명사,,
어린나무,일반명사,,
착목,일반명사,,
파티시에,일반명사,,
네놈,일반명사,,
홀로그램,일반명사,,
어린것,일반명사,,
이놈,일반명사,,
딴짓,일반명사,,
바보짓,일반명사,,
별거,일반명사,5,
별건,일반명사,3,
별것,일반명사,8,
그중,일반명사,,
공진,일반명사,,
새것,일반명사,,
위기일발,일반명사,,
다운,일반명사,,
검투,일반명사,,
아무것,일반명사,10,
아무거,일반명사,5,
돈더미,일반명사,,
불더미,일반명사,,
쌀더미,일반명사,,
흙더미,일반명사,,
장작더미,일반명사,,
조개더미,일반명사,,
오만가지,일반명사,,
군말,일반명사,,
낮말,일반명사,,
밤말,일반명사,,
큰일,일반명사,10
빈자리,일반명사,,
바른말,일반명사,5
줄임말,일반명사,,
본때,일반명사,,
그동안,일반명사,2,
일정량,일반명사,,
들새,일반명사,,
그간,일반명사,,
변이,일반명사,,
모자간,일반명사,2,
부부간,일반명사,2,
형제간,일반명사,2,
자매간,일반명사,2,
해방,일반명사,,
해역,일반명사,,
해파리,일반명사,,
안내,일반명사,-1,
들은귀,일반명사,,
살날,일반명사,,
짠맛,일반명사,5,
떫은맛,일반명사,5,
매운맛,일반명사,5,
신맛,일반명사,5,
선물,일반명사,5,
찬바람,일반명사,3,
큰불,일반명사,2,
하얀빛,일반명사,3,
흰빛,일반명사,3,
까만빛,일반명사,3,
노란빛,일반명사,3,
푸른빛,일반명사,3,
파란빛,일반명사,3,
붉은빛,일반명사,3,
눈사람,일반명사,3,
검은색,일반명사,3,
붉은색,일반명사,3,
하얀색,일반명사,3,
잔향,일반명사,2,
준말,일반명사,-2,
합본,일반명사,,
우선순위,일반명사,3,
큰아버지,일반명사,,
한밤중,일반명사,3,
탈것,일반명사,,
다인원,일반명사,,
애덕,일반명사,-5,
관문,일반명사,,
사분면,일반명사,,
분면,일반명사,,
서북쪽,일반명사,,
서남쪽,일반명사,,
동서쪽,일반명사,,
동남쪽,일반명사,,
